tweet_id,clean_text,intent
1981409,I updated my phone &amp; all my music is missing,apple_music_media
2010718,"Hey , when are you going to fix that iPhone keyboard glitch? My social media comebacks are no longer 🔥 🔥",screen_display_keyboard
1368455,"800 number still not taking calls, chat service can’t help. When can I change the shipping address for my iPhone X order? Thx",orders_products_warranty
1916684,My iPhone 6s with iOS 11 is sluggish and has reduced battery life. What can I do?,battery_charging
489623,my phone automatically updated in the middle of the night and now my phone is super slow. I think you owe me a new iPhone 8.,performance
2286698,It just brings me to the App Store for iMessage.,app_store_itunes
63191,after downloading watchOS 4.1 Apple Music app downloads and freezes at 75% for hours. Any insight?,apple_music_media
2519482,"Thanks. ios11.1 iphone 7plus. I plug my phone to charge and as soon as I remove it from the current battery starts to drain from 100% to 90% real quick. Turn off the data, background refresh, and location but still, nothing changed.",battery_charging
2953792,Not talking about that shitty keyboard you changed once and which starts to be unresponsive again.,screen_display_keyboard
1752392,If my phone leaves my charger it dies within a few minutes.,battery_charging
1973801,I IPhone 8 is probably the glitchiest phone I have ever had and it’s only been about a month. Thanks #iphone8,device_hardware
2143368,"iPhone 6s and on 11.03. The 11.1 update notes made no mention of battery life improvements, but hey, new emojis!",battery_charging
2296138,Helloooo I️ downloaded the High Sierra OS Update and can’t get past putting in my password to unlock my computer. Why is this🤔,apple_id_icloud
1002950,It’s constantly freezing! All apps. It happened just now with and the #Twitter app closed before it opened. Why?? #apple #ipone,performance
1833655,", much like many others iOS 11.0.3 is nothing but a blackhole of battery power and unresponsiveness.",battery_charging
416427,"Hey , why can I no longer update or download apps? Great new iOS you’ve got here.",app_store_itunes
1938058,Wtf . My phone has not worked properly for 5 mins straight since this ios update,ios_update
2838696,"wtf has happened to customer service. had the rudest colleague today who told me he was doing me a ""favour"" by replacing my faulty hardware phone and walked away without saying bye. do i move to android? hmm",device_hardware
557848,after last nights update 11.2 my phone crashed for good it doesnt even turn on. and i cant even restore it on itunes. please send help,app_store_itunes
2592232,The Iphone 6s got stuck when updated to the current iOS that is iOS 11.1.1 .When I reboot my iPhone the apple logo flashes and later phone remains in that mode itself and does not turn on the iphone. Please fix this issue asap🙏,ios_update
2298956,this is my iPhone 6 after the update. It's been like this for more than 20 min. Any suggestion?,device_hardware
824741,I'm only one iPhone behind why this new iOS always freezing my phone,performance
2281184,how 2 fix the iPhone keyboard issue with the letter I️ or should I️ say “I”???#help #thissucks,screen_display_keyboard
1989332,Aftr updating iOS 11.1 iphone7+ display bcom black&amp;not able to unlock.I conectd to pc reupdated iOS works fine but again same,ios_update
1706133,c’est une blague la !!!!? Genre pourquoi l’album de Bee Lemonade - n’est pas disponible en France?,performance
2032315,"Iphone running incredibly poorly since last iOS update, completely ready to switch whenever this garbage expires.",ios_update
1526029,. my iPhone5s works gr8 except I can't update it. Wouldn't it be nice if I didn't feel forced to buy a new phone with $ I don't have,device_hardware
456156,I have a 2015 MacBook Pro. Should the clear coating be coming off of the display like this?,screen_display_keyboard
1570348,"MBP 2016, within 10 months logic board &amp; SSD replaced. Now batt need replacement too. Can't I just get a new unit &amp; save my time?",orders_products_warranty
595796,No error. Ioad a cd to the library and it just picks and chooses what it wants to transfer. I have the latest version on the iPod but not the computer.,device_hardware
898715,"whereupon the cycle repeats with it charging, powering on, switching off, charging, powering on, switching off as though designed by monkeys",battery_charging
151467,Hey one would assume with ~$250B cash on hand you could get some developers to get this fixed. Second day in a row with this error -checking order status.,orders_products_warranty
612936,My iPhone x has a green line on the screen. Whats going on here?,screen_display_keyboard
2944498,hey so I️ bought the $20 booster pack but it charged me like $40 ... like I️ can only buy this once and some glitch happened... can I️ please have a 20.99 refund.. I️ enjoy this game a lot but I️ got charged twice when the limit is one pack,billing_payment_purchase
1864652,11.1 or 11.0.1 or 11 makes no different if all of them keeps freezing and crashing,performance
2677912,So thank you for the most stupid update I now cannot connect to WiFi or even turn it on on my iPad #Crap #whatsthepoint #wasteoftime,connectivity
1089270,My four-year-old iPad mini has no problems with notifying me of new e-mails but my 2-week-old iPhone 7 does. Settings are fine,device_hardware
1993471,"my phone literally has been blacking out every day at least for like ten minutes since I updated, and it freezes constantly.",performance
1773231,"Bro this whole I️ thing on the iPhone is getting so damn annoying, how the hell do you fix it? what the hell did you guys do?",device_hardware
2295752,Already done that and there’s no billing issues the card is fine and works for everyone else just not me please will you fix this,billing_payment_purchase
2492352,I signed out of iCloud and lost all my photos and Apple music tracks when I signed back in. Help plz or someone,apple_music_media
2979359,why is my phone being so slow with the new update???!! it was fine before,performance
2032240,- whats up with 11.1 update - cant access itunes store - thinks im in the UK - am not?,app_store_itunes
2452923,"word to the technical gurus behind the new update.... it stinks!! Pls get your oopsie update fixed!! Phone locks up, freezes, slow",performance
1758824,"iTunes will not backup our iPhone 6 or 5. Using iTunes 12.7, IOS 11.0.3 for 6, and 10.3.3 on 5. What’s up?",app_store_itunes
1025666,The timeline of apple podcasts app is so wired! Pls fix it’ too complicated. Is there any consumer instruction???,apple_music_media
2607726,please help I made an accidental purchase just now with touch ID! I would like to be refunded asap,billing_payment_purchase
1981269,just wanna give a big fuck you to this morning for my phone freezing up in the middle of the night and none of my alarms going off,performance
2284959,IOS 11.1.1 can’t send Yahoo mail.Error message “Cannot send mail -user name or password for “Yahoo” incorrect. FIX!,ios_update
294910,"Also the keyboard has issues, is frozen all the time...",screen_display_keyboard
734913,"I only subscribe to Apple Music for the new music mix, where did it go cause..?",apple_music_media
92819,My iPhone is heating up! Help!,device_hardware
621739,Did the update on iPhone and it removed my VPN!!!! I want it back,device_hardware
1868917,"Why is iTunes so intent on me logging into my iCloud? I really don't want to use it, .",apple_id_icloud
849544,Hi do I really have to buy a third charger lead for my Mac book Pro at vast cost now second has failed? #amateur,battery_charging
2949585,Is anyone else having and it issue on their phone? Mine keeps changing it to I.T. why are y’all messing with the keyboards?!,screen_display_keyboard
717232,iOS update made my phone freeze many times. You should fix that. I’m not the only one bother bout the update,performance
2160154,"Just updated to High Sierra and my Mac has completely frozen up twice while using premiere, any other editors running into this problem?",performance
659515,my phone does not notify me when I get texts. Can y’all fix this? It’s been happening since iOS 11 was released.,ios_update
1823108,"FFS, . This album was only released 2 days ago and I've already got duplicates in iTunes of almost every fu*%ing track!",app_store_itunes
484518,Sorry apple I forgot to include the picture of the faulty display in my iPhone X. It's the bright white line on the side of my iPhone X.,screen_display_keyboard
206677,is the WiFiconnection being fixed in the new iOS 11 update? I use my works wf while I am @ work on my phone &amp; it’s not working,connectivity
2623986,It still happen when I close iTunes 😅,app_store_itunes
157774,I can’t seem to move or dismiss the slide over once I have it up. Tapping and holding top of slide over. I can only switch to split screen. On iPad Pro 10.5. Flakey response with this feature.,screen_display_keyboard
2279833,every time i update my iOS at least one phone charger stops working 😡😡 what’s that all about,battery_charging
675418,got a fake email about something I never purchased,billing_payment_purchase
1159159,I tried doing them one at a time and all together but it’s still not working. I tried both Wi-Fi and cellular,connectivity
569263,"Don’t know if you guys know but theres a bug on the lockscreen that everything disappears. You can just see the wallpaper. Nothing else. Nor the time, or Face ID animation. Nothing. Happen to me on my iPhone 7 &amp; now on mu X. #applebug #ios11",screen_display_keyboard
2301745,"asking for a serial number on the ""password reset"" help option is not helpful when you need to be able to access your phone to get the serial number.",apple_id_icloud
2295683,"i purchased iphone 6 in india and at i first had an issue of poping screen and then it replaced and now i am facing alot more issues such as hanging,internal parts are not packed and also network loss. Service centre is not responding. Solve my problem contact me",connectivity
1711015,"hola mi gente, me gustaría comentarles que desde que hice el upgraded a mi iPhone 6 tengo demasiados issue podemos hacerle downgrade?",device_hardware
1883220,this latest iOS is terrible. My phone is freezing up and locking. How do I go back?,performance
543661,an iPhone keeps shutting itself down and won’t stop it. Even hard resets don’t stop it from happening. What’s going on?,device_hardware
1599079,Battery life on the 6s is laughable. Can deplete it in an hour on twitter and fb alone,battery_charging
764225,"#iPhone is worse than a an old Blackberry ever since this #iOS11 update with Freezing, Locking up, etc #WTF will you fix this please or #gtfo and let someone else lead this company?!",performance
2893308,"I never had any bugs prior to #ios11 but now everyday my phone hangs, freezes and forces me to reboot all the time. it used to be a seamless experience 😕",performance
1268366,"since 11 update texts showing in reverse order, on iOS 11.0.3 now still the same??",orders_products_warranty
795248,pls sort #ios11 notifications screen. Time date and music ctrl in way of notifications. Not good.,apple_music_media
2050504,Hello. I updated my software to 11.0.2 &amp; my battery drains faster &amp; has slower response in everything! WTH? How 2 FIX?,battery_charging
1079185,every time is worse the performance of my iphone even with every update gets worse or no longer download,performance
2694008,IOS 11. iPhone 6+. Sorry it took so long to respond. My phone is acting up more and more. 🙃,ios_update
1802192,Battery draining faster than before after iOS 11.0.3 Update.what a stupid ios11?,battery_charging
2403633,I haven't been able to connect to my App Store on my phone using 3G - been happening for months - why?,app_store_itunes
388916,"Myself, this user in the screengrab, another friend and my brother are all experiencing the same WhatsApp issues...",screen_display_keyboard
1048070,I’m on iOS 11.0.2 and it’s a 64GB iPhone 6.,ios_update
1073816,you guys are really terrible. Not the service we came to respect. Bluetooth is horrible and the pixel is looking like a change 4 me,connectivity
2853828,"No, no changes at all. It only happens when the WiFi is off",connectivity
188468,Ever since i updated my phone to iOS 11 my phone has been acting fucking stupid and I’m ready to square up with,ios_update
1913649,"Your update sux. freezes every other day. spotify does not show up in lock screen. countless probs, SMHH. make me get a android",screen_display_keyboard
2237326,There’s sth wrong with my iTunes I can’t download the album. SOMEONE FIC THIS.,app_store_itunes
2312512,iPhone X freezes on lock screen and won't open even after updating to the latest IOS provided on setting.,screen_display_keyboard
1774851,why am I getting this error? - I am connected to WiFi with a good connection,connectivity
2869665,Hey Are iTunes Match and iTunes Music two different things? or am I safe to cancel one?,app_store_itunes
2756178,"ever since I updated to the new OS on my MacBook, my screen has been flickering from time to time. Is this an issue with high sierra?",screen_display_keyboard
652954,how do I cancel this subscription? My daughter downloaded this by accident,billing_payment_purchase
180952,Is there a new software update for the old iPhone 5c,ios_update
2118359,"For the first time in my life, I bought an product. I officially have an IPhone. The transition is whack. Send help.",device_hardware
519248,My iphone keeps restarting approximately every 2 minutes. Running ios 11.1.2. Is this a known problem?,ios_update
1768,"it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",apple_id_icloud
588132,"my iphone 6s keeps reiniciating every 5 minutes, what’s going on??? #annoying #Apple #iphone6s",device_hardware
742547,"So I finally went to do the iPhone update... My phone freezes verifying the update, I can't force restart it or hard reset it",performance
